age,install,amount,delayed,neg2y,neg2yb,pd_6m,pd_618,pd_18m,ud_12m,ud_12mm,nloans,loanAge,remain,wneg_2y,label
34,22,607.6,0,0,0,0,0,0,0,0,1,797,0.5573770491803278,0.0,0
46,18,327.5,14,0,4,0,0,4,0,0,5,4158,0.1891891891891892,0.0,0
40,12,490.8,0,0,0,0,0,0,0,0,1,755,0.0,0.0,0
44,10,524.9,0,4,2,0,2,4,0,0,1,2198,0.5705882352941176,1.0,0
39,36,566.2,0,0,0,0,0,0,0,0,1,721,0.6065573770491803,0.0,0
35,11,164.1,217,12,95,2,5,46,0,22,15,2924,0.5070152514484355,2.0,0
51,23,507.4,1042,0,0,0,0,0,0,0,5,3391,0.8541509028767583,0.0,0
43,24,364.2,2043,0,0,0,0,0,0,0,4,3978,0.094614624474289,0.0,0
35,11,600.9,0,0,0,0,0,0,0,0,2,1485,0.0,0.0,0
51,17,386.1,18,1,0,0,0,1,0,0,4,1554,0.657101103873246,1.0,0
46,22,627.4,0,0,0,0,0,0,0,0,1,352,0.0,0.0,0
38,36,588.9,0,0,0,0,0,0,0,0,1,2005,0.0,0.0,0
41,36,566.2,60,1,0,0,1,0,0,0,2,853,0.0,1.0,0
37,36,728.4,30,0,0,0,0,0,0,0,3,1636,0.7198166243907193,0.0,0
59,12,230.8,20,0,0,0,0,0,0,0,2,1043,0.5652173913043479,0.0,0
63,27,992.3,0,1,4,0,0,5,0,0,1,2786,0.0,1.0,0
37,15,430.4,64,0,7,0,0,6,0,0,4,2606,0.6068678630999509,0.0,0
56,24,939.3,0,2,0,1,1,0,0,0,2,784,0.5672677134120312,1.0,0
36,14,537.8,0,0,0,0,0,0,0,0,4,441,0.9144157405514124,0.0,0
47,10,72.8,87,9,1,3,6,1,0,0,12,2602,0.3736440080589178,1.0,0
43,20,837.2,79,1,1,0,1,1,0,0,6,1712,0.2713669651755511,1.0,0
79,48,992.3,0,0,0,0,0,0,0,0,1,1313,0.2786885245901639,0.0,0
62,12,341.6,0,0,0,0,0,0,0,0,1,1983,0.0,0.0,0
69,12,88.9,0,0,0,0,0,0,0,0,3,4075,0.9166666666666666,0.0,0
46,24,920.9,19,3,42,1,1,39,0,4,6,4236,0.6008846209463458,1.0,0
34,12,700.2,0,0,36,0,0,24,0,3,5,2638,0.6135712088838442,0.0,0
47,24,377.5,260,0,1,0,0,1,0,0,7,4920,0.7117563391514475,0.0,0
38,12,462.3,0,0,0,0,0,0,0,0,3,1763,1.0,0.0,0
36,18,644.2,0,7,4,1,1,4,0,0,8,1602,0.7375646800174767,1.0,0
37,14,168.3,0,0,0,0,0,0,0,0,2,865,0.2162162162162162,0.0,0
40,20,177.8,36,0,0,0,0,0,0,0,3,1493,0.8055555555555555,0.0,0
37,15,320.5,336,0,3,0,0,3,0,0,19,2300,0.711392142215611,0.0,0
35,24,202.5,0,0,0,0,0,0,0,0,3,1866,0.2233365842128281,0.0,0
54,16,710.2,0,0,0,0,0,0,0,0,2,1308,0.695125337649908,0.0,0
57,12,577.4,0,0,0,0,0,0,0,0,4,2287,0.6074814360957788,0.0,0
35,36,304.3,499,3,3,0,2,1,0,1,6,1713,0.38433854387533,1.0,0
34,24,82.7,0,0,0,0,0,0,0,0,1,544,0.788235294117647,0.0,0
47,24,463.7,0,0,0,0,0,0,0,0,2,870,0.2162162162162162,0.0,0
42,24,549.4,176,2,0,1,0,1,0,0,14,3494,0.4707907333007457,1.0,0
49,17,569.3,2,0,0,0,0,0,0,0,3,1383,0.6364561787601201,0.0,0
37,21,437.4,272,4,0,0,3,0,1,0,2,850,0.5405405405405406,2.0,0
34,26,524.9,0,0,0,0,0,0,0,0,1,75,0.9508196721311476,0.0,0
54,18,1092.6,0,0,0,0,0,0,0,0,2,2874,0.0,0.0,0
36,20,330.8,0,0,0,0,0,0,0,0,3,3824,0.0621129862772866,0.0,0
38,47,503.8,0,0,0,0,0,0,0,0,5,3447,0.299334232224226,0.0,0
