,age,gender,marital,date_granted,label,installment,amount_approved,total_delayed_payment,total_early_payment,num_negstatus_2years,num_negstatus_before_2years,negstatus_guarantor_last_12month,negstatus_guarantor_before_12month,past_due_6_month,past_due_6_18_month,past_due_18_more_month,undue_12_month,undue_12_more_month,default_12_month,default_12_more_month,age_last_negative_status,num_loans,max_installment_amount,oldest_loan_age,complete_last_payment_age,num_prev_0_1_year_loans,num_prev_1_3_year_loans,guarantor_role,completed_loan_ratio,outstanding_debt_ratio,current_installments,out,worst_negative_status_last_2years_0,worst_negative_status_last_2years_1,worst_negative_status_last_2years_2,worst_negative_status_last_2years_3
0,34,1,1,20210412,0,22,607.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.8,797,0,1,1,1,0,0.5573770491803278,18.8,0,1,0,0,0
1,46,1,0,20211216,0,18,327.5,14,0,0,4,0,23,0,0,4,0,0,0,0,3028,5,47.7,4158,727,1,3,1,0.234793571,0.1891891891891892,0,0,1,0,0,0
2,40,1,0,20210519,0,12,490.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.1,755,0,1,1,1,0,0,0,0,1,0,0,0
3,44,1,0,20210903,0,10,524.9,0,0,4,2,0,0,0,2,4,0,0,0,0,429,1,17,2198,0,1,0,0,0,0.5705882352941176,17,0,0,1,0,0
4,39,1,1,20210616,0,36,566.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.8,721,0,1,1,0,0,0.6065573770491803,17.8,0,1,0,0,0
5,35,0,0,20211103,0,11,164.1,217,0,12,95,0,8,2,5,46,0,22,0,8,27,15,101.8,2924,33,3,5,1,0.2774155356114878,0.5070152514484355,288.3,0,0,0,1,0
6,51,0,1,20210902,0,23,507.4,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84.8,3391,489,2,2,1,0.4066452871894598,0.8541509028767583,47.1,0,1,0,0,0
7,43,1,0,20210727,0,24,364.2,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,4,124.1,3978,121,2,1,0,0.6017432648569717,0.094614624,0,0,1,0,0,0
8,35,1,0,20210726,0,11,600.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,101.2,1485,406,1,1,1,0.7429366696473574,0,0,0,1,0,0,0
9,51,0,1,20210720,0,17,386.1,18,0,1,0,0,0,0,0,1,0,0,0,0,574,4,100.7,1554,441,1,1,0,0.1038027622430691,0.657101104,101.9,0,0,1,0,0
10,46,1,1,20210311,0,22,627.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,352,0,2,0,0,0,0,0,0,1,0,0,0
11,38,1,1,20210519,0,36,588.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,2005,909,1,0,0,1,0,0,0,1,0,0,0
12,41,1,1,20210610,0,36,566.2,60,83,1,0,0,1,0,1,0,0,0,0,0,463,2,218.2,853,73,1,2,1,1,0,0,0,0,1,0,0
13,37,1,1,20210727,0,36,728.4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34.5,1636,458,1,1,1,0.2424685379124951,0.7198166243907193,33.5,0,1,0,0,0
14,59,0,0,20210319,0,12,230.8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,198.7,1043,201,2,1,0,0.1187339243385558,0.5652173913043479,0,0,1,0,0,0
15,63,1,1,20211202,0,27,992.3,0,0,1,4,0,0,0,0,5,0,0,0,0,612,1,12.5,2786,0,1,0,1,0,0,0,0,0,1,0,0
16,37,1,0,20211030,0,15,430.4,64,0,0,7,0,5,0,0,6,0,0,0,0,1582,4,44.2,2606,482,1,1,1,0.4136324742545605,0.6068678630999509,36.7,0,1,0,0,0
17,56,1,1,20211018,0,24,939.3,0,0,2,0,0,0,1,1,0,0,0,0,0,139,2,26.3,784,0,2,1,0,0,0.5672677134120312,43.2,0,0,1,0,0
18,36,1,0,20210227,0,14,537.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60.2,441,0,5,1,1,0,0.9144157405514124,226.9,0,1,0,0,0
